1,2012,"The first Ruhlman Conference was held on the afternoon of May 1, 1997. Looking back on that day, the",150 students who volunteered to participate in the inaugural conference—and the more than 50 faculty,who served as their advisors—were creating a new Wellesley tradition. In the months preceding the,"['conference, members of the program committee had worried that it might be difficult to recruit students to participate in this ambitious communal experiment. Indeed, that was the question on Barbara Ruhlman\xe2\x80\x99s mind throughout much of the year. Once the day of the conference had arrived, however, a new question had come to occupy their minds: What if no one attends? The conference had been organized into concurrent sessions scheduled from 3 to 7 pm and, because no change to the class schedule was made that day, late-afternoon classes overlapped with the first block of conference presentations. At a place already over-populated with lectures, performances and other community events, who would be interested in attending yet another optional event? Many were. The student, faculty and staff turnout that afternoon was respectable, if not large, and faculty and staff outnumbered students in most sessions. Of greater significance, both those who presented and those who attended the first conference left with the impression that they had participated in something special, urging those in charge of planning the conference to find ways to increase involvement among all constituencies of the college. The following year the conference was scheduled for a day on which no classes would be held, the number of blocks of concurrent sessions was increased, and a community-wide lunch was added. The number of students presenting at the conference rose to 250, the number of faculty']"
2,2012,"classes would be held, the number of blocks of concurrent sessions was increased, and a community-wide","lunch was added. The number of students presenting at the conference rose to 250, the number of faculty","and staff advisors doubled (to 100), as did the number of sessions. In the years to follow, the conference","[""would consistently attract between 250-300 student participants sponsored by well over 100 faculty and staff, representing virtually every academic department and program of the college. Why was the Ruhlman Conference such a success? A student on the first program committee for the conference provided insight into that question when she suggested that \xe2\x80\x9cWellesley was a very academic place, but it wasn\xe2\x80\x99t as intellectual as it might be.\xe2\x80\x9d By that we believe she meant that Wellesley students set high academic standards for themselves and their peers, that they worked hard to achieve those standards\xe2\x80\x94but that they spent more time talking about how hard they work than about what they are working on. Although the Ruhlman Conference provided a venue to applaud and celebrate the hard work necessary to produce excellent projects, its focus was on the results of that hard work\xe2\x80\x94the knowledge, understanding and joy that comes through serious intellectual engagement. More than 15 years later, it is hard to imagine Wellesley without the Ruhlman conference. It is built into our calendar and our consciousness. Students look forward to their presentations as they plan their research projects. Faculty mark the years by remembering which students participated in a Ruhlman panel or poster session. Deans describe the conference to candidates for faculty positions as one of the great selling points of the institution. Other colleges planning student research conferences look enviously at the structure we have built. Part of the joy of the day is the way in which traditional divisions are broken down. Science talks happen in Pendleton, poetry readings in the Science Center. Panels are created that cross disciplines and make new connections; the audiences are filled with staff, faculty, and students interacting with the presenters and with one another in new ways. And part of the joy comes from Barbara Ruhlman\xe2\x80\x99s obvious delight in her creation. The gratitude that flows back and forth between her and the students adds to the special nature of the day and is a manifestation of the connections among generations of Wellesley alumnae. It is not difficult to see why the Ruhlman Conference has become such a valued Wellesley tradition. Lee Cuba is Professor of Sociology and former Dean of the College. While Associate Dean, he worked with Barbara Ruhlman to develop the plan for the Ruhlman Conference and chaired the program committee from 1997\xe2\x80\x931999. Adele Wolfson is the Nan Walsh Schow '54 and Howard B. Schow Professor in the Physical and Natural Sciences. She was Associate Dean of the College from 2004\xe2\x80\x932010 and chaired the program committee.""]"
3,2012,The Un-Naturalist Art of Walton Ford,"Jaeun Ahn ’12, Art History","Advisor: Patricia Berman, Art","['This project examines art by Walton Ford (b. 1960), meticulously rendered watercolors and prints of life-sized animals and birds in the style of John James Audubon and other eighteenth- and-nineteenth naturalists. My exegesis locates Ford\xe2\x80\x99s works in light of contemporary theories including issues of appropriation, historicism, postmodernism, colonialism and postcolonialism, and the anthropomorphizing of animals in both historic and contemporary art. I argue that Ford\xe2\x80\x99s works are \xe2\x80\x9cunnatural illustrations,\xe2\x80\x9d exposing the limitations of the dominant Western naturalist traditions through his subversive and anti-imperialist visual strategies. ""Little or No Influence"": The Importance of Costuming Amanda Braun \xe2\x80\x9912, Theatre Studies and Political Science']"
4,2012,"Amanda Braun ’12, Theatre Studies and",Political Science,"Advisor: Nora Hussey, Theatre Studies","['""Clothes make the man. Naked people have little or no influence on society."" -Mark Twain Costuming is an important aspect of the theatrical experience. Whether doublets or dresses, a single costume choice can transform an individual. There will be a discussion of the choices involved in clothing actors for performance while looking through the lens of Shakespeare\'s great tragic romance, Romeo & Juliet. Historical context, as well as a modern viewpoint, informs how we may dress the same character in many different fashions. Sarah Wyman Whitman & the Art of the Commercial Book in Boston Molly Eckel \xe2\x80\x9912, Art History']"
5,2012,of the Commercial Book in Boston,"Molly Eckel ’12, Art History","Advisor: Martha McNamara, Art","['Painter, book designer, and stained glass artist, Sarah Wyman Whitman (1842\xe2\x80\x931904) has largely been ignored in art historical scholarship despite her \xe2\x80\x9cRenaissance Woman\xe2\x80\x9d approach to artistic production, her devotion to the democratization of design, and prominence in Boston\xe2\x80\x99s nineteenth-century social circles. Whitman acted as a pioneer by carving out a niche for women artists who chose to avoid the male-dominated, hierarchal sphere of fine arts. Instead, she turned to producing cloth-stamped book covers and works in stained glass and is credited as the first person to procure full-time employment as a book designer. My paper will use Whitman\xe2\x80\x99s life and work to explore how her social networks of artists, authors, and reformers shaped her work across media and illuminate issues facing women artists in the context of the fine press revival in Boston, the gender politics of craft, and notions of feminine sensibility. Merce Cunningham: Accidental Icon Jennifer Harris \xe2\x80\x9912, Art History']"
6,2012,Merce Cunningham: Accidental Icon,"Jennifer Harris ’12, Art History","Advisors: Martin Brody, Music, Patricia","['Berman, Art In the summer of 1953, one could hardly call Merce Cunningham\xe2\x80\x99s group of dancers \xe2\x80\x9ca company\xe2\x80\x9d in the formal sense of the term. At the time it was only one of many protean artistic experiments taking shape at Black Mountain College, a hotbed of intellectual activity where artists\xe2\x80\x99 ideas circulated freely across the disciplines of music, dance, and the visual arts. Black Mountain fostered a collaborative setting for some of the most important creative minds of the second half of the twentieth century, yet during that summer their place in the American artistic pantheon was far from guaranteed. My thesis explores Cunningham\xe2\x80\x99s unlikely trajectory in becoming a cultural icon through an analysis of his aesthetic, networks, and funding. The project attempts to address the question of how this marginal experiment came to represent twentieth century American dance. (Research supported by Jerome A. Schiff Fellowship.) The Call to Prayer: Religious Spirit Around the World (short talks) Science Center 104 Changing the Landscape of Global Christianity: The Twentieth Century Explosion of Christianity in Korea Jaimie Crumley \xe2\x80\x9912, International Relations- History and Religion']"
7,2012,"Jaimie Crumley ’12, International Relations-",History and Religion,"Advisor: T. James Kodera, Religion","['South Korea has become a powerhouse of Christianity in the twentieth and twenty-first centuries, which is a surprising phenomenon considering Protestant Christianity was only introduced to Korea beginning in 1884. Therefore, my research explores reasons why Christianity took hold in Korea while it was firmly rejected in other parts of East Asia. Additionally, it explores the way Koreans have used their folk traditions to make Christianity their own. In so doing, Koreans departed from the strict doctrine they were taught by the pioneer missionaries to Korea and instead practice a ""Koreanized"" form of Christianity. In addition, my research analyzes how today\'s Korean missionaries are changing global Christianity in their attempts to share Christianity with the world. In sharing impressing their spirituality onto others, Korean missionaries not only create converts but they also alter the demographics of Heaven, a change the pioneer missionaries to Korea would never have anticipated. Development of Kaji Kito in Nichiren Shu Buddhism Kyomi Igarashi \xe2\x80\x9912, Biological Chemistry and Religion']"
8,2012,"Kyomi Igarashi ’12, Biological Chemistry",and Religion,"Advisor: T. James Kodera, Religion","['While the historical and religious roots of kaji kito (""ritual prayer"") lay in Tibetan tantric and Chinese Buddhist practices, the most direct influence of kaji kito in Nichiren Shu Buddhism, a Japanese Buddhist sect founded by the Buddhist monk, Nichiren (1222\xe2\x80\x931282), comes from Shingon and Tendai Buddhism, two Japanese Buddhist traditions that precede Nichiren\'s time. The ritualistic aspect of the term ""kaji"" suggests divine bestowal, which can also be explained in the context of Shinto, an indigenous practice of worshipping kami (spiritual deities). However, the hidden nature of this practice evokes mysticism, often leading to its incorrect interpretations. The presentation will not only look at the historical development, but also the meaning of kaji kito both during and after Nichiren\'s time, including the physical practice of kaji kito called aragyo, a 100\xe2\x80\x93day ascetic practice undergone annually in Japan by some Nichiren Shu priests. (Research supported by the Religion Department.) Soldiers for Christ: The Practice and Theology of Dominionism in America Sarah Miller \xe2\x80\x9912, Political Science and Religion']"
9,2012,Theology of Dominionism in America,"Sarah Miller ’12, Political Science and Religion","Advisor: Stephen Marini, Religion","['An emergent strand of American Evangelicalism called Dominionism seeks to take control over American society in order to catalyze the second coming of Christ. Through the use of divinely appointed prophets and apostles, Dominionism has reimagined the structure of the Church and gained a significant following in both the US and abroad. Prophecy and social action are not novel concepts within American Evangelicalism, as previous moral initiatives 9:30\xe2\x80\x9310:40am Abstracts like Prohibition show. Yet dominionists seem to have recalibrated these Evangelical practices in order to express their radical worldview. The focus has shifted from moral to total spiritual reform. Practicing a method called spiritual warfare, dominionists liken themselves to soldiers, engaged in religious combat on a mission proclaimed to them by God. This project explores the eschatological theology, bellicose rhetoric, and furtive practices of Dominionism and asks if and when Christian spiritual warfare will shift from a theological to a violent socio-political movement. Protestant & Confucian Ethics and the Spirit of Capitalism in Wenzhou, China Grace Tien \xe2\x80\x9912, Political Science']"
10,2012,"Spirit of Capitalism in Wenzhou, China","Grace Tien ’12, Political Science","Advisor: William Joseph, Political Science","['Wenzhou\'s experience of development has become a nationally acclaimed development model, following successful growth in what was once an impoverished village. The Wenzhou model is known for its emphasis on small businesses, commodity industries, and the unique relationship between the local government and private entrepreneurs. This thesis focuses on a lesser-known aspect of Wenzhou, the impact of Protestant and Confucian culture on a new wave of entrepreneurs, known as ""boss Christians"" in China. Based on in-depth interviews with Christian CEOs and government officials, this thesis suggests evidence for the positive impact of religious values on business ethics and relations with the government. (Research supported by the Barnette Miller Fund.) Femininity, Love, Scar, Farcical Realism: Four Faces of Chinese Literary Modernity (panel discussion) Science Center 396 Ariel Chao \xe2\x80\x9914, Chinese Language and Literature, Helen Yinan Ge \xe2\x80\x9912, International Relations-Political Science, Natalie Griffin \xe2\x80\x9914, Economics, Michelle Vogelzang \xe2\x80\x9913, Individual- Peace and Justice Studies']"
